product_name,current_stock,shop_name,shop_id,brand,unique_item_id,sold_per_month,historical_sold,liked_count,variation_type,variation,current_price,min_price,max_price,lowest_price_guarantee,current_discount_percentage,rating_star,shopee_verified,official_shop,cc_installment,none_cc_installment,preferred_seller,shop_location,shop_rating,cod,extraction_date
Dewars White Label Blended Scotch Whisky 75cl,4,SingleMalt.PH,426244685,,13528935406,1,27,8,,[''],819.0,819.0,819.0,False,0,5,False,True,False,False,False,"Muntinlupa City, Metro Manila",4.896156,False,2023-11-27 09:27:50
Sumarroca Vincles Organic Red Wine 2021 75cl,6,SingleMalt.PH,426244685,,22936956166,1,4,2,,[''],529.0,529.0,529.0,False,0,0,False,True,False,False,False,"Muntinlupa City, Metro Manila",4.896156,True,2023-11-27 09:27:50
Hennessy VSOP CNY 2022 Edition - Art by Zhang Enli 70cl (Limited Edition),3,SingleMalt.PH,426244685,,17362696636,0,5,5,,[''],3899.0,3899.0,3899.0,False,0,5,False,True,False,False,False,"Muntinlupa City, Metro Manila",4.896156,True,2023-11-27 09:27:50
Hennessy XO Extra Old Cognac 70cl,3,SingleMalt.PH,426244685,,20234930602,0,1,5,,[''],13469.0,13469.0,13469.0,False,0,0,False,True,False,False,False,"Muntinlupa City, Metro Manila",4.896156,True,2023-11-27 09:27:50
Absolut Citron Vodka 5cl Miniature,1,SingleMalt.PH,426244685,,18200923788,0,1,2,,[''],155.0,155.0,155.0,False,0,5,False,True,False,False,False,"Muntinlupa City, Metro Manila",4.896156,False,2023-11-27 09:27:50
The Macallan Sherry Oak 12 Year Old 70cl,1,SingleMalt.PH,426244685,,13521534279,0,4,3,,[''],9899.0,9899.0,9899.0,False,0,4.666666666666667,False,True,False,False,False,"Muntinlupa City, Metro Manila",4.896156,True,2023-11-27 09:27:50
Remy Martin XO Red Cognac Limited Edition 70cl,2,SingleMalt.PH,426244685,,17962335112,0,3,11,,[''],10799.0,10799.0,10799.0,False,0,5,False,True,False,False,False,"Muntinlupa City, Metro Manila",4.896156,True,2023-11-27 09:27:50
1800 Cristalino Tequila 75cl,1,SingleMalt.PH,426244685,,21790069759,0,1,0,,[''],3899.0,3899.0,3899.0,False,0,5,False,True,False,False,False,"Muntinlupa City, Metro Manila",4.896156,True,2023-11-27 09:27:50
Captain Morgan Original Spiced Rum 75cl,1,SingleMalt.PH,426244685,,11153150892,0,6,3,,[''],540.0,540.0,540.0,False,0,0,False,True,False,False,False,"Muntinlupa City, Metro Manila",4.896156,False,2023-11-27 09:27:50
Craigellachie 13 Year Old Speyside Scotch Single Malt Whisky 70cl,9,SingleMalt.PH,426244685,,12318100916,0,5,4,,[''],4099.0,4099.0,4099.0,False,0,5,False,True,False,False,False,"Muntinlupa City, Metro Manila",4.896156,False,2023-11-27 09:27:50
Tenjaku Japanese Whisky 70cl,7,SingleMalt.PH,426244685,,13923209898,0,18,16,,[''],1399.0,1399.0,1399.0,False,0,5,False,True,False,False,False,"Muntinlupa City, Metro Manila",4.896156,False,2023-11-27 09:27:50
B&G Fleur De Camille Wine (2 Bottles) 75cl,7,SingleMalt.PH,426244685,,20754022632,0,8,2,,[''],729.0,729.0,729.0,False,0,5,False,True,False,False,False,"Muntinlupa City, Metro Manila",4.896156,True,2023-11-27 09:27:50
Dalmore 18 Year Old 2022 Edition 70cl,1,SingleMalt.PH,426244685,,22571615928,0,0,2,,[''],14999.0,14999.0,14999.0,False,0,0,False,True,False,False,False,"Muntinlupa City, Metro Manila",4.896156,True,2023-11-27 09:27:50
B&G Fleur De Camille Wine 75cl,14,SingleMalt.PH,426244685,,11851630022,0,27,4,,[''],410.0,410.0,410.0,False,0,4,False,True,False,False,False,"Muntinlupa City, Metro Manila",4.896156,False,2023-11-27 09:27:50
Bottega Millesimato 75cl,3,SingleMalt.PH,426244685,,12415549759,0,0,4,,[''],999.0,999.0,999.0,False,0,0,False,True,False,False,False,"Muntinlupa City, Metro Manila",4.896156,False,2023-11-27 09:27:50
Chivas Regal Mizunara 70cl (2 bottles),4,SingleMalt.PH,426244685,,19654736747,0,0,0,,[''],3779.0,3779.0,3779.0,False,10%,0,False,True,False,False,False,"Muntinlupa City, Metro Manila",4.896156,True,2023-11-27 09:27:50
1834 Premium Distilled Gin 75cl,3,SingleMalt.PH,426244685,,22542660008,0,7,2,,[''],1099.0,1099.0,1099.0,False,0,4.5,False,True,False,False,False,"Muntinlupa City, Metro Manila",4.896156,True,2023-11-27 09:27:50
The Macallan Rare Cask 2021 Release 70cl,1,SingleMalt.PH,426244685,,20373271338,0,0,2,,[''],30900.0,30900.0,30900.0,False,0,0,False,True,False,False,False,"Muntinlupa City, Metro Manila",4.896156,True,2023-11-27 09:27:50
Dumont VS Brandy 70cl,6,SingleMalt.PH,426244685,,15085342705,0,4,1,,[''],999.0,999.0,999.0,False,0,5,False,True,False,False,False,"Muntinlupa City, Metro Manila",4.896156,False,2023-11-27 09:27:50
Nikka Hi Nikka Mild Blended Whiskey 72cl,1,SingleMalt.PH,426244685,,17674623002,1,5,6,,[''],1399.0,1399.0,1399.0,False,0,5,False,True,False,False,False,"Muntinlupa City, Metro Manila",4.896156,False,2023-11-27 09:27:50
The Macallan Aera Limited Edition 70cl,2,SingleMalt.PH,426244685,,10755577976,0,5,7,,[''],14599.0,14599.0,14599.0,False,0,0,False,True,False,False,False,"Muntinlupa City, Metro Manila",4.896156,False,2023-11-27 09:27:50
Laphroaig 10 Year Old Single Malt Scotch Whisky 70cl,4,SingleMalt.PH,426244685,,10055546712,1,5,4,,[''],2799.0,2799.0,2799.0,False,0,5,False,True,False,False,False,"Muntinlupa City, Metro Manila",4.896156,False,2023-11-27 09:27:50
Omar Single Malt Whisky Miniature 5cl,3,SingleMalt.PH,426244685,,12536628832,0,3,2,,[''],249.0,249.0,249.0,False,27%,5,False,True,False,False,False,"Muntinlupa City, Metro Manila",4.896156,False,2023-11-27 09:27:50
Glenlivet Founders Reserve 70cl,1,SingleMalt.PH,426244685,,12619678519,0,5,2,,[''],2349.0,2349.0,2349.0,False,0,5,False,True,False,False,False,"Muntinlupa City, Metro Manila",4.896156,False,2023-11-27 09:27:50
Dewars Portuguese Smooth Blended Scotch Whisky 75cl,24,SingleMalt.PH,426244685,,18632516794,0,6,3,,[''],999.0,999.0,999.0,False,0,5,False,True,False,False,False,"Muntinlupa City, Metro Manila",4.896156,True,2023-11-27 09:27:50
Johnnie Walker 18 Year Old Ultimate Blended Scotch Whisky 70cl,5,SingleMalt.PH,426244685,,13420187855,0,6,5,,[''],4149.0,4149.0,4149.0,False,0,5,False,True,False,False,False,"Muntinlupa City, Metro Manila",4.896156,True,2023-11-27 09:27:50
Table Mountain Chardonnay Wine 70cl,9,SingleMalt.PH,426244685,,15900952537,0,7,5,,[''],369.0,369.0,369.0,False,0,5,False,True,False,False,False,"Muntinlupa City, Metro Manila",4.896156,False,2023-11-27 09:27:50
1.25 Inch Ice Cube Tray - Green,5,SingleMalt.PH,426244685,,20327787025,0,6,4,,[''],229.0,229.0,229.0,False,0,0,False,True,False,False,False,"Muntinlupa City, Metro Manila",4.896156,True,2023-11-27 09:27:50
